,zip,city,county,pop,ZIP,LAT,LNG,_merge,gundo_lat,gundo_long,Est_Dist_from_Home (Miles)
613,94131,San Francisco,San Francisco,29523,94131,37.745916,-122.441472,both,33.92735,-118.41591,347.3563173
614,90039,Los Angeles,Los Angeles,29510,90039,34.111885,-118.261033,both,33.92735,-118.41591,15.5483294
615,95603,Auburn,Placer,29474,95603,38.915869,-121.080284,both,33.92735,-118.41591,375.5086905
616,95212,Stockton,San Joaquin,29426,95212,38.049939,-121.23297,both,33.92735,-118.41591,325.7861588
617,93035,Oxnard,Ventura,29354,93035,34.181971,-119.224985,both,33.92735,-118.41591,49.59639465
618,95134,San Jose,Santa Clara,29349,95134,37.426377,-121.950977,both,33.92735,-118.41591,313.0302258
619,96150,South Lake Tahoe,El Dorado,29327,96150,38.869825,-120.008594,both,33.92735,-118.41591,353.1520571
620,95492,Windsor,Sonoma,29271,95492,38.528079,-122.821349,both,33.92735,-118.41591,401.9809676
621,95219,Stockton,San Joaquin,29270,95219,38.051726,-121.483036,both,33.92735,-118.41591,332.880391
622,91384,Castaic,Los Angeles,29212,91384,34.506627,-118.699048,both,33.92735,-118.41591,43.21594856
623,96080,Red Bluff,Tehama,29139,96080,40.18189,-122.377104,both,33.92735,-118.41591,484.5894531
624,90041,Los Angeles,Los Angeles,29090,90041,34.137412,-118.207607,both,33.92735,-118.41591,18.80607996
625,92604,Irvine,Orange,28990,92604,33.690715,-117.789224,both,33.92735,-118.41591,39.5607716
626,93401,San Luis Obispo,San Luis Obispo,28854,93401,35.23575,-120.615973,both,33.92735,-118.41591,154.5460092
627,94518,Concord,Contra Costa,28734,94518,37.950362,-122.022039,both,33.92735,-118.41591,343.7498665
628,92316,Bloomington,San Bernardino,28704,92316,34.059306,-117.390768,both,33.92735,-118.41591,59.49269552
629,95204,Stockton,San Joaquin,28667,95204,37.973736,-121.319246,both,33.92735,-118.41591,323.6185608
630,92262,Palm Springs,Riverside,28618,92262,33.860925,-116.566176,both,33.92735,-118.41591,106.2980311
631,90038,Los Angeles,Los Angeles,28580,90038,34.088475,-118.325527,both,33.92735,-118.41591,12.29057192
632,95133,San Jose,Santa Clara,28565,95133,37.371606,-121.860844,both,33.92735,-118.41591,306.938311
633,93105,Santa Barbara,Santa Barbara,28545,93105,34.533222,-119.791731,both,33.92735,-118.41591,89.14151038
634,95961,Olivehurst,Yuba,28489,95961,39.040305,-121.560484,both,33.92735,-118.41591,394.4538067
635,94062,Redwood City,San Mateo,28423,94062,37.413691,-122.295343,both,33.92735,-118.41591,324.9983601
636,94510,Benicia,Solano,28350,94510,38.098071,-122.13594,both,33.92735,-118.41591,355.6445515
637,95829,Sacramento,Sacramento,28264,95829,38.489544,-121.323454,both,33.92735,-118.41591,354.7783385
638,90713,Lakewood,Los Angeles,28202,90713,33.847989,-118.112601,both,33.92735,-118.41591,18.26000827
639,93901,Salinas,Monterey,28194,93901,36.636344,-121.623978,both,33.92735,-118.41591,260.5787562
640,90405,Santa Monica,Los Angeles,28156,90405,34.011312,-118.469762,both,33.92735,-118.41591,6.577910902
641,93280,Wasco,Kern,28138,93280,35.652242,-119.4464,both,33.92735,-118.41591,132.8900277
642,95370,Sonora,Tuolumne,28096,95370,37.984549,-120.349264,both,33.92735,-118.41591,300.7576005
643,90710,Harbor City,Los Angeles,28045,90710,33.799904,-118.298661,both,33.92735,-118.41591,11.09298562
644,91364,Woodland Hills,Los Angeles,27971,91364,34.15404,-118.593153,both,33.92735,-118.41591,18.68278886
645,95363,Patterson,Stanislaus,27908,95363,37.452895,-121.229974,both,33.92735,-118.41591,290.5738289
646,90061,Los Angeles,Los Angeles,27873,90061,33.92128,-118.274186,both,33.92735,-118.41591,8.144851684
647,94598,Walnut Creek,Contra Costa,27831,94598,37.899936,-121.999244,both,33.92735,-118.41591,340.2183904
648,90017,Los Angeles,Los Angeles,27723,90017,34.052913,-118.26434,both,33.92735,-118.41591,12.28757532
649,91103,Pasadena,Los Angeles,27659,91103,34.169538,-118.164941,both,33.92735,-118.41591,22.07898318
650,94559,Napa,Napa,27593,94559,38.245724,-122.313405,both,33.92735,-118.41591,369.6109333
651,95618,El Macero,Yolo,27519,95618,38.543211,-121.6815,both,33.92735,-118.41591,367.5239565
652,94306,Palo Alto,Santa Clara,27435,94306,37.415727,-122.130762,both,33.92735,-118.41591,318.9803864
653,90270,Maywood,Los Angeles,27287,90270,33.987729,-118.186597,both,33.92735,-118.41591,13.80287181
654,90035,Los Angeles,Los Angeles,27272,90035,34.051809,-118.383674,both,33.92735,-118.41591,8.804777548
655,91945,Lemon Grove,San Diego,27236,91945,32.733168,-117.034176,both,33.92735,-118.41591,114.8829533
656,93725,Fresno,Fresno,27214,93725,36.627211,-119.731888,both,33.92735,-118.41591,200.9769765
657,92227,Brawley,Imperial,27189,92227,32.990121,-115.358757,both,33.92735,-118.41591,187.9369071
658,92614,Irvine,Orange,27187,92614,33.680302,-117.833295,both,33.92735,-118.41591,37.5933374
659,95409,Santa Rosa,Sonoma,27186,95409,38.468829,-122.580724,both,33.92735,-118.41591,390.68051
660,94002,Belmont,San Mateo,27155,94002,37.514352,-122.298896,both,33.92735,-118.41591,330.2347347
661,92008,Carlsbad,San Diego,27151,92008,33.147294,-117.322181,both,33.92735,-118.41591,82.9881588
662,90746,Carson,Los Angeles,27075,90746,33.859171,-118.252272,both,33.92735,-118.41591,10.51225603
663,92868,Orange,Orange,27072,92868,33.788145,-117.87655,both,33.92735,-118.41591,32.44158873
664,93960,Soledad,Monterey,26966,93960,36.389618,-121.343146,both,33.92735,-118.41591,237.4724749
665,91042,Tujunga,Los Angeles,26966,91042,34.322618,-118.23757,both,33.92735,-118.41591,29.18437905
666,90291,Venice,Los Angeles,26950,90291,33.993396,-118.465193,both,33.92735,-118.41591,5.372380425
667,92629,Dana Point,Orange,26877,92629,33.47512,-117.705675,both,33.92735,-118.41591,51.46533053
668,92860,Norco,Riverside,26849,92860,33.925519,-117.551958,both,33.92735,-118.41591,49.58393612
669,94607,Oakland,Alameda,26823,94607,37.807215,-122.301497,both,33.92735,-118.41591,345.5406816
670,91755,Monterey Park,Los Angeles,26803,91755,34.050965,-118.114394,both,33.92735,-118.41591,19.29021116
671,94133,San Francisco,San Francisco,26796,94133,37.804531,-122.410852,both,33.92735,-118.41591,349.2916351
672,91741,Glendora,Los Angeles,26794,91741,34.156529,-117.841605,both,33.92735,-118.41591,36.53377508
673,91504,Burbank,Los Angeles,26749,91504,34.204568,-118.326365,both,33.92735,-118.41591,19.84902361
674,91724,Covina,Los Angeles,26717,91724,34.080444,-117.854734,both,33.92735,-118.41591,33.87519439
675,91302,Calabasas,Los Angeles,26712,91302,34.123305,-118.671025,both,33.92735,-118.41591,19.93938726
676,91932,Imperial Beach,San Diego,26492,91932,32.573755,-117.120872,both,33.92735,-118.41591,119.9012825
677,90249,Gardena,Los Angeles,26429,90249,33.90139,-118.315697,both,33.92735,-118.41591,6.025973818
678,90240,Downey,Los Angeles,26413,90240,33.955729,-118.118346,both,33.92735,-118.41591,17.18720997
679,95242,Lodi,San Joaquin,26409,95242,38.137068,-121.384546,both,33.92735,-118.41591,335.1437656
680,91010,Duarte,Los Angeles,26380,91010,34.141586,-117.957627,both,33.92735,-118.41591,30.15960013
681,91307,West Hills,Los Angeles,26341,91307,34.200834,-118.6649,both,33.92735,-118.41591,23.69314317
682,91301,Agoura Hills,Los Angeles,26334,91301,34.123286,-118.758541,both,33.92735,-118.41591,23.86317418
683,92284,Yucca Valley,San Bernardino,26182,92284,34.185894,-116.432416,both,33.92735,-118.41591,115.0585724
684,92606,Irvine,Orange,26171,92606,33.705442,-117.8236,both,33.92735,-118.41591,37.33823728
685,94530,El Cerrito,Contra Costa,26145,94530,37.921561,-122.298337,both,33.92735,-118.41591,351.5076383
686,91411,Van Nuys,Los Angeles,26111,91411,34.178522,-118.459234,both,33.92735,-118.41591,17.54942064
687,91784,Upland,San Bernardino,26090,91784,34.141146,-117.655583,both,33.92735,-118.41591,46.02171344
688,95032,Los Gatos,Santa Clara,26047,95032,37.216953,-121.926555,both,33.92735,-118.41591,301.2463142
689,95503,Eureka,Humboldt,25972,95503,40.738322,-124.107619,both,33.92735,-118.41591,565.3061489
690,90304,Inglewood,Los Angeles,25946,90304,33.937886,-118.358559,both,33.92735,-118.41591,3.370963004
691,90064,Los Angeles,Los Angeles,25925,90064,34.037251,-118.423573,both,33.92735,-118.41591,7.614261273
